"id","name","area","region","ok"
"9258","Phường Trường Thạnh (Quận 9 cũ)","13119","13000","1"
"9259","Phường Long Phước (Quận 9 cũ)","13119","13000","1"
"9260","Phường Long Trường (Quận 9 cũ)","13119","13000","1"
"9261","Phường Phước Bình (Quận 9 cũ)","13119","13000","1"
"9262","Phường Phú Hữu (Quận 9 cũ)","13119","13000","1"
"9263","Phường 15","13110","13000","1"
"9264","Phường 13","13110","13000","1"
"9265","Phường 17","13110","13000","1"
"9266","Phường 6","13110","13000","1"
"9267","Phường 16","13110","13000","1"
"9268","Phường 12","13110","13000","1"
"9269","Phường 14","13110","13000","1"
"9270","Phường 10","13110","13000","1"
"9271","Phường 5","13110","13000","1"
"9272","Phường 7","13110","13000","1"
"9273","Phường 4","13110","13000","1"
"9274","Phường 1","13110","13000","1"
"9275","Phường 9","13110","13000","1"
"9276","Phường 8","13110","13000","1"
"9277","Phường 11","13110","13000","1"
"9278","Phường 3","13110","13000","1"
"9279","Phường 13","13109","13000","1"
"9280","Phường 11","13109","13000","1"
"9281","Phường 27","13109","13000","1"
"9282","Phường 26","13109","13000","1"
"9283","Phường 12","13109","13000","1"
"9284","Phường 25","13109","13000","1"
"9285","Phường 5","13109","13000","1"
"9286","Phường 7","13109","13000","1"
"9287","Phường 24","13109","13000","1"
"9288","Phường 6","13109","13000","1"
"9289","Phường 14","13109","13000","1"
"9290","Phường 15","13109","13000","1"
"9291","Phường 2","13109","13000","1"
"9292","Phường 1","13109","13000","1"
"9293","Phường 3","13109","13000","1"
"9294","Phường 17","13109","13000","1"
"9295","Phường 21","13109","13000","1"
"9296","Phường 22","13109","13000","1"
"9297","Phường 19","13109","13000","1"
"9298","Phường 28","13109","13000","1"
"9299","Phường 2","13112","13000","1"
"9300","Phường 4","13112","13000","1"
"9301","Phường 12","13112","13000","1"
"9302","Phường 13","13112","13000","1"
"9303","Phường 1","13112","13000","1"
"9304","Phường 3","13112","13000","1"
"9305","Phường 11","13112","13000","1"
"9306","Phường 7","13112","13000","1"
"9307","Phường 5","13112","13000","1"
"9308","Phường 10","13112","13000","1"
"9309","Phường 6","13112","13000","1"
"9310","Phường 8","13112","13000","1"
"9311","Phường 9","13112","13000","1"
"9312","Phường 14","13112","13000","1"
"9313","Phường 15","13112","13000","1"
"9314","Phường Tân Sơn Nhì","13113","13000","1"
"9315","Phường Tây Thạnh","13113","13000","1"
"9316","Phường Sơn Kỳ","13113","13000","1"
"9317","Phường Tân Quý","13113","13000","1"
"9318","Phường Tân Thành","13113","13000","1"
"9319","Phường Phú Thọ Hòa","13113","13000","1"
"9320","Phường Phú Thạnh","13113","13000","1"
"9321","Phường Phú Trung","13113","13000","1"
"9322","Phường Hòa Thạnh","13113","13000","1"
"9323","Phường Hiệp Tân","13113","13000","1"
"9324","Phường Tân Thới Hòa","13113","13000","1"
"9325","Phường 4","13111","13000","1"
"9326","Phường 5","13111","13000","1"
"9327","Phường 9","13111","13000","1"
"9328","Phường 7","13111","13000","1"
"9329","Phường 3","13111","13000","1"
"9330","Phường 1","13111","13000","1"
"9331","Phường 2","13111","13000","1"
"9332","Phường 8","13111","13000","1"
"9333","Phường 15","13111","13000","1"
"9334","Phường 10","13111","13000","1"
"9335","Phường 11","13111","13000","1"
"9336","Phường 17","13111","13000","1"
"9339","Phường 13","13111","13000","1"
"9340","Phường Thảo Điền (Quận 2 cũ)","13119","13000","1"
"9341","Phường An Phú (Quận 2 cũ)","13119","13000","1"
"9343","Phường Bình Trưng Đông (Quận 2 cũ)","13119","13000","1"
"9344","Phường Bình Trưng Tây (Quận 2 cũ)","13119","13000","1"
"9347","Phường Cát Lái (Quận 2 cũ)","13119","13000","1"
"9348","Phường Thạnh Mỹ Lợi (Quận 2 cũ)","13119","13000","1"
"9349","Phường An Lợi Đông (Quận 2 cũ)","13119","13000","1"
"9350","Phường Thủ Thiêm (Quận 2 cũ)","13119","13000","1"
"9353","Phường 14","13098","13000","1"
"9354","Phường 12","13098","13000","1"
"9355","Phường 11","13098","13000","1"
"9356","Phường 13","13098","13000","1"
"9358","Phường 9","13098","13000","1"
"9359","Phường 10","13098","13000","1"
"9360","Phường 4","13098","13000","1"
"9361","Phường 5","13098","13000","1"
"9362","Phường 3","13098","13000","1"
"9363","Phường 2","13098","13000","1"
"9364","Phường 1","13098","13000","1"
"9365","Phường 15","13105","13000","1"
"9366","Phường 13","13105","13000","1"
"9367","Phường 14","13105","13000","1"
"9368","Phường 12","13105","13000","1"
"9369","Phường 11","13105","13000","1"
"9370","Phường 10","13105","13000","1"
"9371","Phường 9","13105","13000","1"
"9372","Phường 1","13105","13000","1"
"9373","Phường 8","13105","13000","1"
"9374","Phường 2","13105","13000","1"
"9375","Phường 4","13105","13000","1"
"9376","Phường 7","13105","13000","1"
"9377","Phường 5","13105","13000","1"
"9378","Phường 6","13105","13000","1"
"9380","Phường 15","13106","13000","1"
"9381","Phường 5","13106","13000","1"
"9382","Phường 14","13106","13000","1"
"9383","Phường 11","13106","13000","1"
"9384","Phường 3","13106","13000","1"
"9385","Phường 10","13106","13000","1"
"9386","Phường 13","13106","13000","1"
"9387","Phường 8","13106","13000","1"
"9388","Phường 9","13106","13000","1"
"9389","Phường 12","13106","13000","1"
"9390","Phường 7","13106","13000","1"
"9391","Phường 6","13106","13000","1"
"9392","Phường 4","13106","13000","1"
"9393","Phường 1","13106","13000","1"
"9394","Phường 2","13106","13000","1"
"9395","Phường 16","13106","13000","1"
"9397","Phường 13","13099","13000","1"
"9398","Phường 9","13099","13000","1"
"9399","Phường 6","13099","13000","1"
"9400","Phường 8","13099","13000","1"
"9401","Phường 10","13099","13000","1"
"9403","Phường 18","13099","13000","1"
"9404","Phường 14","13099","13000","1"
"9405","Phường 4","13099","13000","1"
"9406","Phường 3","13099","13000","1"
"9407","Phường 16","13099","13000","1"
"9408","Phường 2","13099","13000","1"
"9409","Phường 15","13099","13000","1"
"9410","Phường 1","13099","13000","1"
"9411","Phường 4","13100","13000","1"
"9412","Phường 9","13100","13000","1"
"9413","Phường 3","13100","13000","1"
"9414","Phường 12","13100","13000","1"
"9415","Phường 2","13100","13000","1"
"9416","Phường 8","13100","13000","1"
"9418","Phường 7","13100","13000","1"
"9419","Phường 1","13100","13000","1"
"9420","Phường 11","13100","13000","1"
"9421","Phường 14","13100","13000","1"
"9422","Phường 5","13100","13000","1"
"9423","Phường 6","13100","13000","1"
"9424","Phường 10","13100","13000","1"
"9425","Phường 13","13100","13000","1"
"9426","Phường 14","13101","13000","1"
"9427","Phường 13","13101","13000","1"
"9428","Phường 9","13101","13000","1"
"9429","Phường 6","13101","13000","1"
"9430","Phường 12","13101","13000","1"
"9431","Phường 5","13101","13000","1"
"9432","Phường 11","13101","13000","1"
"9433","Phường 2","13101","13000","1"
"9434","Phường 1","13101","13000","1"
"9435","Phường 4","13101","13000","1"
"9436","Phường 8","13101","13000","1"
"9437","Phường 3","13101","13000","1"
"9438","Phường 7","13101","13000","1"
"9439","Phường 10","13101","13000","1"
"9440","Phường 8","13103","13000","1"
"9441","Phường 2","13103","13000","1"
"9442","Phường 1","13103","13000","1"
"9443","Phường 3","13103","13000","1"
"9444","Phường 11","13103","13000","1"
"9445","Phường 9","13103","13000","1"
"9446","Phường 10","13103","13000","1"
"9447","Phường 4","13103","13000","1"
"9448","Phường 13","13103","13000","1"
"9449","Phường 12","13103","13000","1"
"9450","Phường 5","13103","13000","1"
"9451","Phường 14","13103","13000","1"
"9452","Phường 6","13103","13000","1"
"9453","Phường 15","13103","13000","1"
"9454","Phường 16","13103","13000","1"
"9455","Phường 7","13103","13000","1"
"9456","Phường Bình Hưng Hòa","13108","13000","1"
"9457","Phường Bình Hưng Hoà A","13108","13000","1"
"9458","Phường Bình Hưng Hoà B","13108","13000","1"
"9459","Phường Bình Trị Đông","13108","13000","1"
"9460","Phường Bình Trị Đông A","13108","13000","1"
"9461","Phường Bình Trị Đông B","13108","13000","1"
"9462","Phường Tân Tạo","13108","13000","1"
"9463","Phường Tân Tạo A","13108","13000","1"
"9464","Phường An Lạc","13108","13000","1"
"9465","Phường An Lạc A","13108","13000","1"
"9466","Phường Tân Thuận Đông","13102","13000","1"
"9467","Phường Tân Thuận Tây","13102","13000","1"
"9468","Phường Tân Kiểng","13102","13000","1"
"9469","Phường Tân Hưng","13102","13000","1"
"9470","Phường Bình Thuận","13102","13000","1"
"9471","Phường Tân Quy","13102","13000","1"
"9472","Phường Phú Thuận","13102","13000","1"
"9473","Phường Tân Phú","13102","13000","1"
"9474","Phường Tân Phong","13102","13000","1"
"9475","Phường Phú Mỹ","13102","13000","1"
"9476","Thị trấn Củ Chi","13116","13000","1"
"9477","Xã Phú Mỹ Hưng","13116","13000","1"
"9478","Xã An Phú","13116","13000","1"
"9479","Xã Trung Lập Thượng","13116","13000","1"
"9480","Xã An Nhơn Tây","13116","13000","1"
"9481","Xã Nhuận Đức","13116","13000","1"
"9482","Xã Phạm Văn Cội","13116","13000","1"
"9483","Xã Phú Hòa Đông","13116","13000","1"
"9484","Xã Trung Lập Hạ","13116","13000","1"
"9485","Xã Trung An","13116","13000","1"
"9486","Xã Phước Thạnh","13116","13000","1"
"9487","Xã Phước Hiệp","13116","13000","1"
"9488","Xã Tân An Hội","13116","13000","1"
"9489","Xã Phước Vĩnh An","13116","13000","1"
"9490","Xã Thái Mỹ","13116","13000","1"
"9491","Xã Tân Thạnh Tây","13116","13000","1"
"9492","Xã Hòa Phú","13116","13000","1"
"9493","Xã Tân Thạnh Đông","13116","13000","1"
"9494","Xã Bình Mỹ","13116","13000","1"
"9495","Xã Tân Phú Trung","13116","13000","1"
"9496","Xã Tân Thông Hội","13116","13000","1"
"9497","Thị trấn Hóc Môn","13117","13000","1"
"9498","Xã Tân Hiệp","13117","13000","1"
"9499","Xã Nhị Bình","13117","13000","1"
"9500","Xã Đông Thạnh","13117","13000","1"
"9501","Xã Tân Thới Nhì","13117","13000","1"
"9502","Xã Thới Tam Thôn","13117","13000","1"
"9503","Xã Xuân Thới Sơn","13117","13000","1"
"9504","Xã Tân Xuân","13117","13000","1"
"9505","Xã Xuân Thới Đông","13117","13000","1"
"9506","Xã Trung Chánh","13117","13000","1"
"9507","Xã Xuân Thới Thượng","13117","13000","1"
"9508","Xã Bà Điểm","13117","13000","1"
"9509","Thị trấn Tân Túc","13115","13000","1"
"9510","Xã Phạm Văn Hai","13115","13000","1"
"9511","Xã Vĩnh Lộc A","13115","13000","1"
"9512","Xã Vĩnh Lộc B","13115","13000","1"
"9513","Xã Bình Lợi","13115","13000","1"
"9514","Xã Lê Minh Xuân","13115","13000","1"
"9515","Xã Tân Nhựt","13115","13000","1"
"9516","Xã Tân Kiên","13115","13000","1"
"9517","Xã Bình Hưng","13115","13000","1"
"9518","Xã Phong Phú","13115","13000","1"
"9519","Xã An Phú Tây","13115","13000","1"
"9520","Xã Hưng Long","13115","13000","1"
"9521","Xã Đa Phước","13115","13000","1"
"9522","Xã Tân Quý Tây","13115","13000","1"
"9523","Xã Bình Chánh","13115","13000","1"
"9524","Xã Quy Đức","13115","13000","1"
"9525","Thị trấn Nhà Bè","13118","13000","1"
"9526","Xã Phước Kiển","13118","13000","1"
"9527","Xã Phước Lộc","13118","13000","1"
"9528","Xã Nhơn Đức","13118","13000","1"
"9529","Xã Phú Xuân","13118","13000","1"
"9530","Xã Long Thới","13118","13000","1"
"9531","Xã Hiệp Phước","13118","13000","1"
"9532","Thị trấn Cần Thạnh","13120","13000","1"
"9533","Xã Bình Khánh","13120","13000","1"
"9534","Xã Tam Thôn Hiệp","13120","13000","1"
"9535","Xã An Thới Đông","13120","13000","1"
"9536","Xã Thạnh An","13120","13000","1"
"9537","Xã Long Hòa","13120","13000","1"
"9538","Xã Lý Nhơn","13120","13000","1"
"11221","Phường An Khánh (Quận 2 cũ)","13119","13000","1"
"11222","Phường Võ Thị Sáu","13098","13000","1"
